timestamp,context,num_transactions,min_support,min_confidence,num_frequent_itemsets,num_rules,avg_confidence,max_confidence,runtime_seconds,status,error
2026-01-23 11:21:30,time_bucket=night|is_weekend=0|day_of_week=1|basket_size_category=medium|purchase_frequency=medium,1061,0.002,0.1,1202,665,0.4119,1.0,2.4,success,
2026-01-23 11:21:33,time_bucket=afternoon|is_weekend=0|day_of_week=1|basket_size_category=medium|purchase_frequency=medium,31726,0.002,0.1,951,200,0.1608,0.3522,3.44,success,
2026-01-23 11:21:35,time_bucket=afternoon|is_weekend=0|day_of_week=1|basket_size_category=small|purchase_frequency=low,5600,0.002,0.1,221,3,0.2155,0.3696,1.98,success,
2026-01-23 11:21:40,time_bucket=morning|is_weekend=0|day_of_week=5|basket_size_category=medium|purchase_frequency=high,56065,0.002,0.1,985,257,0.2137,0.8,4.43,success,
2026-01-23 11:21:45,time_bucket=afternoon|is_weekend=1|day_of_week=6|basket_size_category=medium|purchase_frequency=high,74554,0.002,0.1,958,207,0.1608,0.3235,5.27,success,
2026-01-23 11:21:48,time_bucket=evening|is_weekend=1|day_of_week=0|basket_size_category=medium|purchase_frequency=low,6227,0.002,0.1,1035,267,0.1878,0.4615,2.56,success,
2026-01-23 11:22:04,time_bucket=afternoon|is_weekend=1|day_of_week=0|basket_size_category=large|purchase_frequency=high,50639,0.002,0.1,5573,2953,0.2388,0.6608,16.77,success,
2026-01-23 11:22:08,time_bucket=evening|is_weekend=0|day_of_week=5|basket_size_category=small|purchase_frequency=medium,3420,0.002,0.1,240,6,0.1773,0.3889,3.32,success,
2026-01-23 11:22:10,time_bucket=afternoon|is_weekend=0|day_of_week=4|basket_size_category=small|purchase_frequency=low,4451,0.002,0.1,233,2,0.1167,0.1324,2.11,success,
2026-01-23 11:22:18,time_bucket=morning|is_weekend=0|day_of_week=2|basket_size_category=large|purchase_frequency=low,2792,0.002,0.1,4798,2826,0.2699,1.0,8.14,success,
2026-01-23 11:22:27,time_bucket=night|is_weekend=0|day_of_week=1|basket_size_category=large|purchase_frequency=medium,518,0.002,0.1,33589,3000,1.0,1.0,8.77,success,
2026-01-23 11:22:30,time_bucket=evening|is_weekend=1|day_of_week=6|basket_size_category=medium|purchase_frequency=low,4874,0.002,0.1,979,203,0.1845,0.6875,3.55,success,
2026-01-23 11:22:35,time_bucket=afternoon|is_weekend=0|day_of_week=3|basket_size_category=medium|purchase_frequency=low,11332,0.002,0.1,843,130,0.1654,0.3131,5.0,success,
2026-01-23 11:22:43,time_bucket=afternoon|is_weekend=0|day_of_week=2|basket_size_category=small|purchase_frequency=medium,9683,0.002,0.1,224,7,0.1658,0.3239,8.04,success,
2026-01-23 11:22:47,time_bucket=afternoon|is_weekend=0|day_of_week=5|basket_size_category=small|purchase_frequency=high,28067,0.002,0.1,215,9,0.2119,0.469,3.17,success,
2026-01-23 11:22:52,time_bucket=afternoon|is_weekend=1|day_of_week=0|basket_size_category=small|purchase_frequency=medium,11318,0.002,0.1,225,5,0.1243,0.1445,4.98,success,
2026-01-23 11:22:54,time_bucket=evening|is_weekend=1|day_of_week=0|basket_size_category=small|purchase_frequency=low,2049,0.002,0.1,202,4,0.151,0.1875,2.36,success,
2026-01-23 11:22:56,time_bucket=morning|is_weekend=0|day_of_week=1|basket_size_category=small|purchase_frequency=low,3848,0.002,0.1,246,18,0.2039,0.4688,2.02,success,
2026-01-23 11:23:00,time_bucket=morning|is_weekend=0|day_of_week=4|basket_size_category=large|purchase_frequency=low,2311,0.002,0.1,4957,2843,0.2938,1.0,3.95,success,
2026-01-23 11:23:05,time_bucket=afternoon|is_weekend=0|day_of_week=5|basket_size_category=medium|purchase_frequency=high,78012,0.002,0.1,925,207,0.1931,0.46,5.03,success,
2026-01-23 11:23:17,time_bucket=morning|is_weekend=0|day_of_week=1|basket_size_category=large|purchase_frequency=high,36754,0.002,0.1,5468,2950,0.2737,0.8804,12.3,success,
2026-01-23 11:23:21,time_bucket=evening|is_weekend=1|day_of_week=0|basket_size_category=medium|purchase_frequency=medium,12354,0.002,0.1,1031,255,0.1784,0.4561,3.53,success,
2026-01-23 11:23:26,time_bucket=night|is_weekend=1|day_of_week=6|basket_size_category=large|purchase_frequency=high,1331,0.002,0.1,12774,3000,0.9108,1.0,4.7,success,
2026-01-23 11:23:28,time_bucket=night|is_weekend=1|day_of_week=6|basket_size_category=medium|purchase_frequency=high,3128,0.002,0.1,1019,315,0.2956,1.0,2.41,success,
